# 2.09606e-06 3 39 : grain size, compostion index, size index
# Heating and cooling timescale: 37.0076 39683.4
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 1 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 2.14964e-11 1.42262e-11 7.27022e-12 0.338207 0.740749 0 0 0 0 0 0 0 0 0 0
0.0525665 2.20129e-11 1.45908e-11 7.42211e-12 0.337171 0.720599 0 0 0 0 0 0 0 0 0 0
0.0552647 2.26966e-11 1.49537e-11 7.74295e-12 0.34115 0.697222 0 0 0 0 0 0 0 0 0 0
0.0581015 2.39598e-11 1.55446e-11 8.41525e-12 0.351223 0.670887 0 0 0 0 0 0 0 0 0 0
0.0610839 2.58577e-11 1.65355e-11 9.32224e-12 0.36052 0.645741 0 0 0 0 0 0 0 0 0 0
0.0642193 2.79417e-11 1.77577e-11 1.0184e-11 0.364472 0.624081 0 0 0 0 0 0 0 0 0 0
0.0675157 2.99284e-11 1.90136e-11 1.09149e-11 0.364699 0.604764 0 0 0 0 0 0 0 0 0 0
0.0709813 3.16821e-11 2.01763e-11 1.15058e-11 0.363164 0.586011 0 0 0 0 0 0 0 0 0 0
0.0746248 3.30902e-11 2.11418e-11 1.19484e-11 0.361087 0.565869 0 0 0 0 0 0 0 0 0 0
0.0784553 3.39716e-11 2.17915e-11 1.21801e-11 0.358537 0.542457 0 0 0 0 0 0 0 0 0 0
0.0824824 3.40944e-11 2.20154e-11 1.2079e-11 0.354281 0.515229 0 0 0 0 0 0 0 0 0 0
0.0867162 3.35316e-11 2.19611e-11 1.15705e-11 0.345063 0.479037 0 0 0 0 0 0 0 0 0 0
0.0911674 3.42022e-11 2.22603e-11 1.19418e-11 0.349154 0.439076 0 0 0 0 0 0 0 0 0 0
0.095847 3.49907e-11 2.24445e-11 1.25461e-11 0.358556 0.402519 0 0 0 0 0 0 0 0 0 0
0.100767 3.54254e-11 2.24923e-11 1.29332e-11 0.365081 0.369719 0 0 0 0 0 0 0 0 0 0
0.105939 3.53392e-11 2.23153e-11 1.3024e-11 0.368542 0.345756 0 0 0 0 0 0 0 0 0 0
0.111377 3.43739e-11 2.18497e-11 1.25242e-11 0.364352 0.324249 0 0 0 0 0 0 0 0 0 0
0.117094 3.30031e-11 2.11219e-11 1.18812e-11 0.360004 0.303183 0 0 0 0 0 0 0 0 0 0
0.123105 3.11774e-11 2.00755e-11 1.11019e-11 0.356087 0.282595 0 0 0 0 0 0 0 0 0 0
0.129424 2.89542e-11 1.87198e-11 1.02345e-11 0.35347 0.262749 0 0 0 0 0 0 0 0 0 0
0.136067 2.64657e-11 1.71054e-11 9.36033e-12 0.353678 0.244454 0 0 0 0 0 0 0 0 0 0
0.143051 2.38414e-11 1.5187e-11 8.65439e-12 0.362998 0.230543 0 0 0 0 0 0 0 0 0 0
0.150394 1.9315e-11 1.16411e-11 7.67398e-12 0.397306 0.220142 0 0 0 0 0 0 0 0 0 0
0.158114 1.37637e-11 7.59625e-12 6.16741e-12 0.448094 0.198391 0 0 0 0 0 0 0 0 0 0
0.16623 9.3704e-12 4.67432e-12 4.69609e-12 0.501162 0.171482 0 0 0 0 0 0 0 0 0 0
0.174762 6.48701e-12 2.96436e-12 3.52265e-12 0.543031 0.147707 0 0 0 0 0 0 0 0 0 0
0.183733 4.49784e-12 1.86232e-12 2.63552e-12 0.585953 0.128114 0 0 0 0 0 0 0 0 0 0
0.193164 3.18555e-12 1.2023e-12 1.98325e-12 0.622576 0.112154 0 0 0 0 0 0 0 0 0 0
0.203079 2.30208e-12 7.98431e-13 1.50365e-12 0.65317 0.0989201 0 0 0 0 0 0 0 0 0 0
0.213503 1.71209e-12 5.66626e-13 1.14547e-12 0.669044 0.0876807 0 0 0 0 0 0 0 0 0 0
0.224463 1.34105e-12 4.60787e-13 8.80259e-13 0.656398 0.0780913 0 0 0 0 0 0 0 0 0 0
0.235984 1.10935e-12 4.24479e-13 6.84866e-13 0.617361 0.069866 0 0 0 0 0 0 0 0 0 0
0.248097 9.49616e-13 4.1097e-13 5.38646e-13 0.567225 0.0627138 0 0 0 0 0 0 0 0 0 0
0.260832 8.18201e-13 3.91696e-13 4.26504e-13 0.521271 0.0563988 0 0 0 0 0 0 0 0 0 0
0.274221 7.1078e-13 3.71489e-13 3.3929e-13 0.47735 0.0507819 0 0 0 0 0 0 0 0 0 0
0.288297 6.23095e-13 3.51844e-13 2.7125e-13 0.435328 0.0457802 0 0 0 0 0 0 0 0 0 0
0.303095 5.50924e-13 3.33365e-13 2.17559e-13 0.394898 0.0413014 0 0 0 0 0 0 0 0 0 0
0.318653 4.90655e-13 3.15771e-13 1.74884e-13 0.356429 0.0372775 0 0 0 0 0 0 0 0 0 0
0.335009 4.40094e-13 2.99126e-13 1.40967e-13 0.320312 0.0336649 0 0 0 0 0 0 0 0 0 0
0.352205 3.97348e-13 2.83495e-13 1.13853e-13 0.286532 0.0304139 0 0 0 0 0 0 0 0 0 0
0.370284 3.60776e-13 2.68703e-13 9.2073e-14 0.255208 0.027482 0 0 0 0 0 0 0 0 0 0
0.389291 3.29361e-13 2.54779e-13 7.45823e-14 0.226445 0.0248392 0 0 0 0 0 0 0 0 0 0
0.409273 3.0207e-13 2.41535e-13 6.05353e-14 0.200402 0.0224592 0 0 0 0 0 0 0 0 0 0
0.430281 2.78125e-13 2.28969e-13 4.91568e-14 0.176743 0.0203075 0 0 0 0 0 0 0 0 0 0
0.452368 2.57086e-13 2.17112e-13 3.99747e-14 0.155491 0.0183659 0 0 0 0 0 0 0 0 0 0
0.475588 2.3843e-13 2.05905e-13 3.25254e-14 0.136415 0.0166104 0 0 0 0 0 0 0 0 0 0
0.5 2.21881e-13 1.95383e-13 2.64974e-14 0.119422 0.0150262 0 0 0 0 0 0 0 0 0 0
0.525665 2.07072e-13 1.85481e-13 2.15919e-14 0.104272 0.0135926 0 0 0 0 0 0 0 0 0 0
0.552647 1.93758e-13 1.76166e-13 1.7592e-14 0.0907937 0.0122943 0 0 0 0 0 0 0 0 0 0
0.581015 1.81655e-13 1.67293e-13 1.43623e-14 0.0790638 0.0111244 0 0 0 0 0 0 0 0 0 0
0.610839 1.70677e-13 1.58948e-13 1.17283e-14 0.0687166 0.010066 0 0 0 0 0 0 0 0 0 0
0.642193 1.60657e-13 1.51083e-13 9.5747e-15 0.059597 0.00910702 0 0 0 0 0 0 0 0 0 0
0.675157 1.51493e-13 1.43674e-13 7.81873e-15 0.0516113 0.00823931 0 0 0 0 0 0 0 0 0 0
0.709813 1.43096e-13 1.36704e-13 6.39159e-15 0.0446666 0.00745598 0 0 0 0 0 0 0 0 0 0
0.746248 1.35356e-13 1.30131e-13 5.2248e-15 0.0386004 0.00674673 0 0 0 0 0 0 0 0 0 0
0.784553 1.28188e-13 1.23918e-13 4.26993e-15 0.0333099 0.00610424 0 0 0 0 0 0 0 0 0 0
0.824824 1.21476e-13 1.17984e-13 3.49112e-15 0.0287393 0.00552324 0 0 0 0 0 0 0 0 0 0
0.867162 1.15199e-13 1.12342e-13 2.85691e-15 0.0247998 0.00499856 0 0 0 0 0 0 0 0 0 0
0.911674 1.09322e-13 1.06984e-13 2.33747e-15 0.0213816 0.0045233 0 0 0 0 0 0 0 0 0 0
0.95847 1.0378e-13 1.01868e-13 1.91234e-15 0.0184267 0.00409297 0 0 0 0 0 0 0 0 0 0
1.00767 9.85953e-14 9.70304e-14 1.56498e-15 0.0158728 0.00370378 0 0 0 0 0 0 0 0 0 0
1.05939 9.37557e-14 9.24748e-14 1.28088e-15 0.0136618 0.00335167 0 0 0 0 0 0 0 0 0 0
1.11377 8.92025e-14 8.81544e-14 1.04808e-15 0.0117495 0.00303274 0 0 0 0 0 0 0 0 0 0
1.17094 8.48951e-14 8.40378e-14 8.57278e-16 0.0100981 0.00274384 0 0 0 0 0 0 0 0 0 0
1.23105 8.08333e-14 8.01317e-14 7.01576e-16 0.0086793 0.00248279 0 0 0 0 0 0 0 0 0 0
1.29424 7.71877e-14 7.66138e-14 5.7395e-16 0.00743577 0.00224635 0 0 0 0 0 0 0 0 0 0
1.36067 7.37884e-14 7.33187e-14 4.69733e-16 0.00636594 0.00203253 0 0 0 0 0 0 0 0 0 0
1.43051 7.05723e-14 7.01882e-14 3.84158e-16 0.00544346 0.00183873 0 0 0 0 0 0 0 0 0 0
1.50394 6.75287e-14 6.72143e-14 3.14403e-16 0.00465583 0.00166372 0 0 0 0 0 0 0 0 0 0
1.58114 6.46286e-14 6.43714e-14 2.57241e-16 0.0039803 0.00150524 0 0 0 0 0 0 0 0 0 0
1.6623 6.1861e-14 6.16507e-14 2.10299e-16 0.00339953 0.00136155 0 0 0 0 0 0 0 0 0 0
1.74762 5.92635e-14 5.90915e-14 1.71967e-16 0.00290173 0.00123167 0 0 0 0 0 0 0 0 0 0
1.83733 5.68971e-14 5.67565e-14 1.40591e-16 0.00247097 0.00111413 0 0 0 0 0 0 0 0 0 0
1.93164 5.46913e-14 5.45764e-14 1.14892e-16 0.00210074 0.00100768 0 0 0 0 0 0 0 0 0 0
2.03079 5.26134e-14 5.25196e-14 9.38777e-17 0.00178429 0.000911354 0 0 0 0 0 0 0 0 0 0
2.13503 5.06493e-14 5.05726e-14 7.67101e-17 0.00151453 0.000824274 0 0 0 0 0 0 0 0 0 0
2.24463 4.88227e-14 4.87601e-14 6.26426e-17 0.00128306 0.000745397 0 0 0 0 0 0 0 0 0 0
2.35984 4.7081e-14 4.70299e-14 5.11295e-17 0.00108599 0.000673977 0 0 0 0 0 0 0 0 0 0
2.48097 4.5437e-14 4.53953e-14 4.16923e-17 0.000917585 0.000609271 0 0 0 0 0 0 0 0 0 0
2.60832 4.39183e-14 4.38843e-14 3.40077e-17 0.00077434 0.000550832 0 0 0 0 0 0 0 0 0 0
2.74221 4.24783e-14 4.24505e-14 2.77257e-17 0.000652704 0.000497935 0 0 0 0 0 0 0 0 0 0
