# 1.11697e-05 4 55 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 3.02677 1.56698e+06
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 8.28606e-10 3.78161e-10 4.50445e-10 0.543618 0.918565 0 0
0.0525665 8.34566e-10 3.79344e-10 4.55222e-10 0.54546 0.912081 0 0
0.0552647 8.41865e-10 3.78432e-10 4.63434e-10 0.550484 0.902736 0 0
0.0581015 8.53043e-10 3.76427e-10 4.76616e-10 0.558725 0.888906 0 0
0.0610839 8.68179e-10 3.77241e-10 4.90939e-10 0.565481 0.873685 0 0
0.0642193 8.84566e-10 3.82261e-10 5.02305e-10 0.567855 0.861235 0 0
0.0675157 9.0076e-10 3.90361e-10 5.10399e-10 0.566632 0.852206 0 0
0.0709813 9.16091e-10 4.00424e-10 5.15666e-10 0.562899 0.8461 0 0
0.0746248 9.29899e-10 4.11535e-10 5.18364e-10 0.557441 0.842423 0 0
0.0784553 9.41078e-10 4.23241e-10 5.17837e-10 0.550259 0.841484 0 0
0.0824824 9.48345e-10 4.35768e-10 5.12577e-10 0.540496 0.844562 0 0
0.0867162 9.52162e-10 4.42803e-10 5.09359e-10 0.53495 0.845224 0 0
0.0911674 9.6256e-10 4.46985e-10 5.15575e-10 0.535629 0.837452 0 0
0.095847 9.72948e-10 4.54072e-10 5.18876e-10 0.533303 0.8322 0 0
0.100767 9.80573e-10 4.61311e-10 5.19262e-10 0.529549 0.829096 0 0
0.105939 9.85821e-10 4.70158e-10 5.15663e-10 0.52308 0.829634 0 0
0.111377 9.90529e-10 4.79268e-10 5.11262e-10 0.51615 0.831178 0 0
0.117094 9.96137e-10 4.87437e-10 5.087e-10 0.510673 0.83085 0 0
0.123105 1.00256e-09 4.9525e-10 5.07305e-10 0.506012 0.829407 0 0
0.129424 1.00971e-09 5.02913e-10 5.06795e-10 0.501922 0.82689 0 0
0.136067 1.0173e-09 5.09959e-10 5.07338e-10 0.498712 0.823012 0 0
0.143051 1.02583e-09 5.15772e-10 5.10062e-10 0.497217 0.817324 0 0
0.150394 1.0377e-09 5.24543e-10 5.13159e-10 0.494515 0.816639 0 0
0.158114 1.05082e-09 5.35843e-10 5.14979e-10 0.490072 0.822427 0 0
0.16623 1.0325e-09 5.46313e-10 4.86192e-10 0.470885 0.80596 0 0
0.174762 9.39711e-10 5.13623e-10 4.26088e-10 0.453425 0.690611 0 0
0.183733 9.11997e-10 4.67384e-10 4.44613e-10 0.487515 0.546825 0 0
0.193164 1.02523e-09 3.78748e-10 6.46477e-10 0.630571 0.49164 0 0
0.203079 1.20433e-09 3.33256e-10 8.7107e-10 0.723284 0.460717 0 0
0.213503 1.30236e-09 2.09173e-10 1.09319e-09 0.83939 0.565992 0 0
0.224463 1.6262e-09 1.93881e-10 1.43232e-09 0.880777 0.632206 0 0
0.235984 1.77222e-09 2.10106e-10 1.56211e-09 0.881444 0.615371 0 0
0.248097 1.58898e-09 1.66428e-10 1.42255e-09 0.895261 0.6 0 0
0.260832 1.58718e-09 1.4448e-10 1.4427e-09 0.908971 0.631999 0 0
0.274221 1.68604e-09 1.49804e-10 1.53624e-09 0.91115 0.666627 0 0
0.288297 1.72559e-09 1.61661e-10 1.56393e-09 0.906315 0.680349 0 0
0.303095 1.58758e-09 1.55297e-10 1.43228e-09 0.90218 0.66446 0 0
0.318653 1.37587e-09 1.30364e-10 1.24551e-09 0.90525 0.625545 0 0
0.335009 1.23863e-09 1.09903e-10 1.12873e-09 0.911271 0.58752 0 0
0.352205 1.17493e-09 1.00644e-10 1.07429e-09 0.91434 0.56496 0 0
0.370284 1.14271e-09 9.95549e-11 1.04316e-09 0.912879 0.55994 0 0
0.389291 1.10201e-09 1.0218e-10 9.99831e-10 0.907278 0.569248 0 0
0.409273 1.02032e-09 1.0314e-10 9.17176e-10 0.898913 0.584847 0 0
0.430281 8.95121e-10 9.86407e-11 7.9648e-10 0.889802 0.593908 0 0
0.452368 7.56678e-10 8.93441e-11 6.67334e-10 0.881926 0.584596 0 0
0.475588 6.32487e-10 7.83328e-11 5.54154e-10 0.876151 0.553396 0 0
0.5 5.32981e-10 6.82309e-11 4.6475e-10 0.871982 0.506185 0 0
0.525665 4.54221e-10 5.98908e-11 3.9433e-10 0.868146 0.452728 0 0
0.552647 3.89918e-10 5.32181e-11 3.367e-10 0.863515 0.400216 0 0
0.581015 3.36174e-10 4.78776e-11 2.88296e-10 0.857581 0.352698 0 0
0.610839 2.89367e-10 4.34644e-11 2.45902e-10 0.849795 0.311065 0 0
0.642193 2.4812e-10 3.97044e-11 2.08416e-10 0.839979 0.275076 0 0
0.675157 2.11947e-10 3.64336e-11 1.75514e-10 0.828101 0.244117 0 0
0.709813 1.80503e-10 3.35422e-11 1.46961e-10 0.814173 0.217492 0 0
0.746248 1.53273e-10 3.09452e-11 1.22328e-10 0.798104 0.194381 0 0
0.784553 1.29886e-10 2.85942e-11 1.01292e-10 0.779852 0.174183 0 0
0.824824 1.10025e-10 2.64513e-11 8.35733e-11 0.759588 0.156455 0 0
0.867162 9.32903e-11 2.45008e-11 6.87895e-11 0.73737 0.140832 0 0
0.911674 7.91914e-11 2.27226e-11 5.64688e-11 0.713067 0.126946 0 0
0.95847 6.73599e-11 2.10962e-11 4.62637e-11 0.686814 0.114559 0 0
1.00767 5.74767e-11 1.96182e-11 3.78586e-11 0.658676 0.103485 0 0
1.05939 4.92297e-11 1.8278e-11 3.09517e-11 0.628719 0.0935513 0 0
1.11377 4.23361e-11 1.70559e-11 2.52802e-11 0.597131 0.0846103 0 0
1.17094 3.6566e-11 1.59365e-11 2.06295e-11 0.564173 0.0765476 0 0
1.23105 3.17526e-11 1.49144e-11 1.68382e-11 0.530293 0.0692844 0 0
1.29424 2.77492e-11 1.40132e-11 1.37361e-11 0.495007 0.0627185 0 0
1.36067 2.44059e-11 1.3196e-11 1.12099e-11 0.45931 0.0567867 7.789e-295 0
1.43051 2.15858e-11 1.24446e-11 9.14115e-12 0.42348 0.0514124 1.94588e-280 0
1.50394 1.92145e-11 1.17542e-11 7.46034e-12 0.388266 0.0465583 9.50466e-267 0
1.58114 1.72023e-11 1.11148e-11 6.08748e-12 0.353876 0.04216 9.82584e-254 0
1.6623 1.54843e-11 1.05207e-11 4.96358e-12 0.320555 0.0381697 2.3192e-241 0
1.74762 1.40248e-11 9.97597e-12 4.04883e-12 0.288691 0.0345589 1.34437e-229 0
1.83733 1.27899e-11 9.4875e-12 3.3024e-12 0.258204 0.0312878 2.05207e-218 0
1.93164 1.17336e-11 9.04075e-12 2.69285e-12 0.229499 0.028322 8.79713e-208 0
2.03079 1.08241e-11 8.62824e-12 2.19584e-12 0.202866 0.0256349 1.12648e-197 0
