# 0.01 3 120 : grain size, compostion index, size index
# Heating and cooling timescale: 2.68403e-08 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
# StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 0.000629413 0.000266645 0.000362768 0.576359 0.931501 0 0 0 0 0 0 0 0 0 0
0.0525665 0.000629454 0.000264307 0.000365146 0.5801 0.925662 0 0 0 0 0 0 0 0 0 0
0.0552647 0.000629497 0.000260437 0.000369059 0.586277 0.91673 0 0 0 0 0 0 0 0 0 0
0.0581015 0.000629545 0.000254571 0.000374973 0.595626 0.902841 0 0 0 0 0 0 0 0 0 0
0.0610839 0.000629597 0.000248645 0.000380951 0.605072 0.887266 0 0 0 0 0 0 0 0 0 0
0.0642193 0.000629654 0.000244481 0.000385173 0.611721 0.874596 0 0 0 0 0 0 0 0 0 0
0.0675157 0.00062971 0.000242102 0.000387608 0.615534 0.865651 0 0 0 0 0 0 0 0 0 0
0.0709813 0.000629768 0.000241176 0.000388593 0.61704 0.860004 0 0 0 0 0 0 0 0 0 0
0.0746248 0.000629829 0.00024146 0.000388369 0.616627 0.857245 0 0 0 0 0 0 0 0 0 0
0.0784553 0.000629888 0.000243114 0.000386774 0.614036 0.857878 0 0 0 0 0 0 0 0 0 0
0.0824824 0.000629945 0.000246718 0.000383227 0.60835 0.86345 0 0 0 0 0 0 0 0 0 0
0.0867162 0.000630001 0.000248218 0.000381783 0.606004 0.866431 0 0 0 0 0 0 0 0 0 0
0.0911674 0.000630067 0.000245937 0.000384129 0.609665 0.859851 0 0 0 0 0 0 0 0 0 0
0.095847 0.000630134 0.000245551 0.000384583 0.610319 0.856521 0 0 0 0 0 0 0 0 0 0
0.100767 0.0006302 0.000246218 0.000383982 0.609302 0.856039 0 0 0 0 0 0 0 0 0 0
0.105939 0.000630267 0.000248647 0.00038162 0.605489 0.859983 0 0 0 0 0 0 0 0 0 0
0.111377 0.00063033 0.000251172 0.000379158 0.601523 0.865083 0 0 0 0 0 0 0 0 0 0
0.117094 0.000630394 0.000252804 0.000377591 0.598975 0.868277 0 0 0 0 0 0 0 0 0 0
0.123105 0.000630465 0.0002539 0.000376564 0.597281 0.870286 0 0 0 0 0 0 0 0 0 0
0.129424 0.000630536 0.000254555 0.000375981 0.596288 0.871258 0 0 0 0 0 0 0 0 0 0
0.136067 0.000630609 0.000254719 0.00037589 0.596075 0.871004 0 0 0 0 0 0 0 0 0 0
0.143051 0.000630687 0.000254107 0.000376579 0.597094 0.868647 0 0 0 0 0 0 0 0 0 0
0.150394 0.000630759 0.000254948 0.000375811 0.595807 0.869889 0 0 0 0 0 0 0 0 0 0
0.158114 0.00063083 0.000257641 0.000373189 0.591585 0.876395 0 0 0 0 0 0 0 0 0 0
0.16623 0.000630907 0.000260707 0.0003702 0.586775 0.884298 0 0 0 0 0 0 0 0 0 0
0.174762 0.000630988 0.00026342 0.000367568 0.582528 0.891472 0 0 0 0 0 0 0 0 0 0
0.183733 0.000631077 0.000265821 0.000365255 0.578781 0.897888 0 0 0 0 0 0 0 0 0 0
0.193164 0.000631167 0.00026785 0.000363317 0.575627 0.903336 0 0 0 0 0 0 0 0 0 0
0.203079 0.000631261 0.000269575 0.000361686 0.572958 0.907968 0 0 0 0 0 0 0 0 0 0
0.213503 0.00063136 0.000271095 0.000360265 0.570617 0.912043 0 0 0 0 0 0 0 0 0 0
0.224463 0.000631462 0.000272361 0.000359101 0.568682 0.915419 0 0 0 0 0 0 0 0 0 0
0.235984 0.000631569 0.000273355 0.000358214 0.567181 0.918046 0 0 0 0 0 0 0 0 0 0
0.248097 0.000631679 0.000274115 0.000357564 0.566054 0.920025 0 0 0 0 0 0 0 0 0 0
0.260832 0.000631793 0.000274732 0.000357061 0.565155 0.921609 0 0 0 0 0 0 0 0 0 0
