# 0.000169365 3 81 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.00105622 3.92624e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.84269e-07 6.45246e-08 1.19745e-07 0.649835 0.857097 0 0
0.0525665 1.84535e-07 6.36126e-08 1.20922e-07 0.655281 0.844955 0 0
0.0552647 1.84811e-07 6.29682e-08 1.21843e-07 0.659283 0.834887 0 0
0.0581015 1.85074e-07 6.27527e-08 1.22322e-07 0.660933 0.82873 0 0
0.0610839 1.85339e-07 6.19756e-08 1.23363e-07 0.665609 0.820273 0 0
0.0642193 1.85686e-07 5.98916e-08 1.25794e-07 0.677457 0.802613 0 0
0.0675157 1.86145e-07 5.79155e-08 1.28229e-07 0.688868 0.783335 0 0
0.0709813 1.86642e-07 5.80042e-08 1.28638e-07 0.689223 0.776529 0 0
0.0746248 1.87113e-07 5.92054e-08 1.27907e-07 0.683584 0.777933 0 0
0.0784553 1.87542e-07 6.07434e-08 1.26799e-07 0.676108 0.782765 0 0
0.0824824 1.87952e-07 6.24664e-08 1.25486e-07 0.667648 0.788495 0 0
0.0867162 1.88356e-07 6.30956e-08 1.2526e-07 0.66502 0.787436 0 0
0.0911674 1.88815e-07 6.31579e-08 1.25657e-07 0.665504 0.78248 0 0
0.095847 1.89255e-07 6.38084e-08 1.25447e-07 0.662844 0.780734 0 0
0.100767 1.89467e-07 6.62784e-08 1.23188e-07 0.650184 0.791595 0 0
0.105939 1.89564e-07 6.86427e-08 1.20921e-07 0.637891 0.805572 0 0
0.111377 1.89305e-07 7.26099e-08 1.16695e-07 0.61644 0.832196 0 0
0.117094 1.89204e-07 7.66597e-08 1.12544e-07 0.59483 0.86338 0 0
0.123105 1.89312e-07 7.93885e-08 1.09923e-07 0.580647 0.885252 0 0
0.129424 1.89494e-07 8.17899e-08 1.07705e-07 0.568378 0.904559 0 0
0.136067 1.89665e-07 8.37796e-08 1.05885e-07 0.558275 0.920206 0 0
0.143051 1.89705e-07 8.53355e-08 1.0437e-07 0.550168 0.932389 0 0
0.150394 1.89488e-07 8.61213e-08 1.03366e-07 0.545504 0.940193 0 0
0.158114 1.89204e-07 8.56266e-08 1.03577e-07 0.547437 0.940915 0 0
0.16623 1.8931e-07 8.34063e-08 1.05904e-07 0.559419 0.930373 0 0
0.174762 1.90037e-07 7.95268e-08 1.1051e-07 0.581519 0.904961 0 0
0.183733 1.91027e-07 7.48891e-08 1.16138e-07 0.607966 0.87095 0 0
0.193164 1.92171e-07 7.02392e-08 1.21932e-07 0.634496 0.836162 0 0
0.203079 1.93436e-07 6.63775e-08 1.27058e-07 0.65685 0.807628 0 0
0.213503 1.94873e-07 6.32505e-08 1.31622e-07 0.675426 0.784695 0 0
0.224463 1.96634e-07 6.16773e-08 1.34957e-07 0.686335 0.76923 0 0
0.235984 1.98497e-07 6.13733e-08 1.37124e-07 0.69081 0.759052 0 0
0.248097 1.99842e-07 6.26485e-08 1.37193e-07 0.686509 0.75557 0 0
0.260832 2.002e-07 6.45183e-08 1.35682e-07 0.677731 0.756777 0 0
0.274221 2.00006e-07 6.6347e-08 1.33659e-07 0.668275 0.759534 0 0
