# 5.3612e-05 4 70 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.022138 5.15061e+07
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.87682e-08 7.97755e-09 1.07906e-08 0.574942 0.931593 0 0
0.0525665 1.88139e-08 7.93363e-09 1.08803e-08 0.57831 0.925924 0 0
0.0552647 1.88658e-08 7.84246e-09 1.10234e-08 0.584304 0.917339 0 0
0.0581015 1.89361e-08 7.69909e-09 1.12371e-08 0.593418 0.904093 0 0
0.0610839 1.90261e-08 7.57069e-09 1.14554e-08 0.602089 0.889291 0 0
0.0642193 1.91237e-08 7.50762e-09 1.1616e-08 0.607417 0.877258 0 0
0.0675157 1.92227e-08 7.50509e-09 1.17176e-08 0.609571 0.868754 0 0
0.0709813 1.93206e-08 7.55058e-09 1.17701e-08 0.609196 0.863356 0 0
0.0746248 1.94147e-08 7.63443e-09 1.17803e-08 0.60677 0.860654 0 0
0.0784553 1.94986e-08 7.75758e-09 1.17411e-08 0.602148 0.861089 0 0
0.0824824 1.95627e-08 7.9317e-09 1.1631e-08 0.59455 0.866082 0 0
0.0867162 1.96081e-08 8.01715e-09 1.1591e-08 0.591131 0.86869 0 0
0.0911674 1.96919e-08 8.00735e-09 1.16845e-08 0.593367 0.862375 0 0
0.095847 1.97754e-08 8.0655e-09 1.17099e-08 0.592144 0.858997 0 0
0.100767 1.98414e-08 8.14573e-09 1.16957e-08 0.589458 0.858212 0 0
0.105939 1.98865e-08 8.26923e-09 1.16173e-08 0.584179 0.861474 0 0
0.111377 1.9926e-08 8.38887e-09 1.15372e-08 0.579 0.865844 0 0
0.117094 1.9972e-08 8.48328e-09 1.14887e-08 0.575241 0.86843 0 0
0.123105 2.00222e-08 8.56311e-09 1.14591e-08 0.57232 0.869889 0 0
0.129424 2.00757e-08 8.63102e-09 1.14447e-08 0.570077 0.870352 0 0
0.136067 2.01323e-08 8.68511e-09 1.14472e-08 0.568599 0.869626 0 0
0.143051 2.01896e-08 8.71492e-09 1.14747e-08 0.568345 0.866856 0 0
0.150394 2.02337e-08 8.78313e-09 1.14505e-08 0.565915 0.86735 0 0
0.158114 2.02825e-08 8.91332e-09 1.13692e-08 0.560541 0.872835 0 0
0.16623 2.03484e-08 9.06686e-09 1.12815e-08 0.554419 0.879716 0 0
0.174762 2.04175e-08 9.21865e-09 1.11988e-08 0.548492 0.885824 0 0
0.183733 2.05454e-08 9.3468e-09 1.11986e-08 0.545066 0.89065 0 0
0.193164 2.05191e-08 9.33657e-09 1.11825e-08 0.544982 0.888308 0 0
0.203079 2.10162e-08 9.05597e-09 1.19603e-08 0.569097 0.881817 0 0
0.213503 1.99932e-08 8.47274e-09 1.15204e-08 0.576218 0.847099 0 0
0.224463 2.17535e-08 8.03283e-09 1.37207e-08 0.630734 0.850831 0 0
0.235984 2.15e-08 7.91031e-09 1.35897e-08 0.632079 0.847124 0 0
0.248097 1.99994e-08 7.95581e-09 1.20436e-08 0.602198 0.825734 0 0
0.260832 2.03107e-08 7.9015e-09 1.24092e-08 0.610969 0.823197 0 0
0.274221 2.21722e-08 7.82206e-09 1.43502e-08 0.647213 0.838144 0 0
0.288297 2.31402e-08 7.68582e-09 1.54544e-08 0.667858 0.83826 0 0
