# 1.53474e-07 3 14 : grain size, compostion index, size index
# Heating and cooling timescale: 108150 11.9026
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 1 1 1 1 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 1.51674e-14 1.51461e-14 2.12456e-17 0.00140074 0.00551665 0 0 0 0 0 0 0 0 0 0
0.0525665 1.56913e-14 1.56711e-14 2.0274e-17 0.00129205 0.00495742 0 0 0 0 0 0 0 0 0 0
0.0552647 1.64611e-14 1.6441e-14 2.01103e-17 0.00122168 0.0044359 0 0 0 0 0 0 0 0 0 0
0.0581015 1.8042e-14 1.80203e-14 2.16538e-17 0.00120019 0.00394246 0 0 0 0 0 0 0 0 0 0
0.0610839 2.04514e-14 2.04271e-14 2.43616e-17 0.00119119 0.00349144 0 0 0 0 0 0 0 0 0 0
0.0642193 2.27945e-14 2.27681e-14 2.64424e-17 0.00116003 0.00309827 0 0 0 0 0 0 0 0 0 0
0.0675157 2.42604e-14 2.42335e-14 2.69033e-17 0.00110894 0.00276615 0 0 0 0 0 0 0 0 0 0
0.0709813 2.44078e-14 2.43822e-14 2.55482e-17 0.00104672 0.00249619 0 0 0 0 0 0 0 0 0 0
0.0746248 2.31789e-14 2.31562e-14 2.26961e-17 0.00097917 0.00228962 0 0 0 0 0 0 0 0 0 0
0.0784553 2.0791e-14 2.07721e-14 1.88271e-17 0.00090554 0.00214947 0 0 0 0 0 0 0 0 0 0
0.0824824 1.7646e-14 1.76316e-14 1.44375e-17 0.000818171 0.00207336 0 0 0 0 0 0 0 0 0 0
0.0867162 1.61613e-14 1.61499e-14 1.13824e-17 0.000704301 0.00191242 0 0 0 0 0 0 0 0 0 0
0.0911674 1.5257e-14 1.52469e-14 1.00597e-17 0.00065935 0.00174889 0 0 0 0 0 0 0 0 0 0
0.095847 1.31999e-14 1.31915e-14 8.43751e-18 0.000639208 0.00168108 0 0 0 0 0 0 0 0 0 0
0.100767 1.11606e-14 1.11537e-14 6.81854e-18 0.00061095 0.00163511 0 0 0 0 0 0 0 0 0 0
