# 0.00208343 4 105 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 5.82119e-06 inf
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.7403e-05 1.15876e-05 1.58154e-05 0.577141 0.931783 0 0
0.0525665 2.74082e-05 1.1487e-05 1.59211e-05 0.58089 0.925978 0 0
0.0552647 2.74137e-05 1.13197e-05 1.6094e-05 0.58708 0.917097 0 0
0.0581015 2.74201e-05 1.10658e-05 1.63543e-05 0.596433 0.903285 0 0
0.0610839 2.74275e-05 1.081e-05 1.66174e-05 0.605868 0.887798 0 0
0.0642193 2.74351e-05 1.06314e-05 1.68037e-05 0.612489 0.875203 0 0
0.0675157 2.7443e-05 1.05308e-05 1.69122e-05 0.616268 0.866317 0 0
0.0709813 2.74511e-05 1.04936e-05 1.69575e-05 0.617734 0.860712 0 0
0.0746248 2.74593e-05 1.05094e-05 1.69499e-05 0.617274 0.857981 0 0
0.0784553 2.74674e-05 1.0585e-05 1.68824e-05 0.614635 0.858623 0 0
0.0824824 2.7475e-05 1.07454e-05 1.67296e-05 0.608902 0.864175 0 0
0.0867162 2.74818e-05 1.08128e-05 1.6669e-05 0.606547 0.867155 0 0
0.0911674 2.74904e-05 1.07166e-05 1.67738e-05 0.610168 0.86063 0 0
0.095847 2.74996e-05 1.07041e-05 1.67955e-05 0.610753 0.857329 0 0
0.100767 2.75084e-05 1.07373e-05 1.67711e-05 0.609671 0.85686 0 0
0.105939 2.75163e-05 1.08469e-05 1.66694e-05 0.6058 0.860786 0 0
0.111377 2.75239e-05 1.096e-05 1.6564e-05 0.601802 0.865867 0 0
0.117094 2.75319e-05 1.10341e-05 1.64978e-05 0.599224 0.869052 0 0
0.123105 2.75403e-05 1.10851e-05 1.64552e-05 0.597495 0.871058 0 0
0.129424 2.7549e-05 1.1117e-05 1.6432e-05 0.596465 0.872035 0 0
0.136067 2.7558e-05 1.11276e-05 1.64303e-05 0.59621 0.871792 0 0
0.143051 2.75674e-05 1.11049e-05 1.64625e-05 0.597172 0.869459 0 0
0.150394 2.75756e-05 1.11449e-05 1.64307e-05 0.595841 0.870696 0 0
0.158114 2.75835e-05 1.12647e-05 1.63188e-05 0.591615 0.877163 0 0
0.16623 2.75923e-05 1.14007e-05 1.61916e-05 0.586815 0.885021 0 0
0.174762 2.76021e-05 1.15219e-05 1.60802e-05 0.582572 0.892153 0 0
0.183733 2.76125e-05 1.16298e-05 1.59827e-05 0.578821 0.898532 0 0
0.193164 2.76236e-05 1.17219e-05 1.59016e-05 0.575654 0.903948 0 0
0.203079 2.76352e-05 1.18012e-05 1.5834e-05 0.572966 0.908551 0 0
0.213503 2.76474e-05 1.18718e-05 1.57756e-05 0.570599 0.9126 0 0
0.224463 2.766e-05 1.19317e-05 1.57284e-05 0.568631 0.915954 0 0
0.235984 2.76731e-05 1.198e-05 1.56931e-05 0.567088 0.918564 0 0
0.248097 2.76866e-05 1.20183e-05 1.56682e-05 0.565914 0.920529 0 0
0.260832 2.77005e-05 1.20507e-05 1.56498e-05 0.564963 0.922102 0 0
0.274221 2.77149e-05 1.20794e-05 1.56355e-05 0.564156 0.923419 0 0
0.288297 2.77298e-05 1.21048e-05 1.5625e-05 0.563473 0.924512 0 0
0.303095 2.77452e-05 1.21277e-05 1.56175e-05 0.56289 0.925423 0 0
0.318653 2.77611e-05 1.21489e-05 1.56122e-05 0.562376 0.926209 0 0
0.335009 2.77775e-05 1.21686e-05 1.56089e-05 0.561925 0.926874 0 0
0.352205 2.77944e-05 1.21874e-05 1.5607e-05 0.561515 0.927457 0 0
0.370284 2.7812e-05 1.22055e-05 1.56065e-05 0.561143 0.927968 0 0
0.389291 2.78301e-05 1.22225e-05 1.56076e-05 0.560817 0.928386 0 0
0.409273 2.78489e-05 1.22389e-05 1.561e-05 0.560523 0.928739 0 0
0.430281 2.78683e-05 1.22555e-05 1.56127e-05 0.560234 0.92907 0 0
0.452368 2.78882e-05 1.22712e-05 1.5617e-05 0.559985 0.929318 0 0
0.475588 2.79089e-05 1.22871e-05 1.56218e-05 0.559743 0.929541 0 0
