# 0.000257326 1 85 : grain size, compostion index, size index
# Heating and cooling timescale: 4.74301e-05 4.54391e+08
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scales: 0.5 1 2 5 10
StochasticallyHeated: 0 0 0 0 0
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEm1 StEm1 EqEm2 StEm2 EqEm3 StEm3 EqEm4 StEm4 EqEm5 StEm5
0.05 4.2335e-07 1.48463e-07 2.74887e-07 0.649314 0.856472 0 0 0 0 0 0 0 0 0 0
0.0525665 4.23792e-07 1.46257e-07 2.77534e-07 0.654884 0.844255 0 0 0 0 0 0 0 0 0 0
0.0552647 4.24252e-07 1.44658e-07 2.79594e-07 0.659028 0.834124 0 0 0 0 0 0 0 0 0 0
0.0581015 4.24694e-07 1.44051e-07 2.80643e-07 0.660812 0.827928 0 0 0 0 0 0 0 0 0 0
0.0610839 4.25137e-07 1.42179e-07 2.82958e-07 0.66557 0.819407 0 0 0 0 0 0 0 0 0 0
0.0642193 4.25707e-07 1.37287e-07 2.8842e-07 0.677509 0.801603 0 0 0 0 0 0 0 0 0 0
0.0675157 4.26448e-07 1.32569e-07 2.93879e-07 0.689132 0.782161 0 0 0 0 0 0 0 0 0 0
0.0709813 4.27248e-07 1.32531e-07 2.94716e-07 0.689802 0.775287 0 0 0 0 0 0 0 0 0 0
0.0746248 4.28008e-07 1.35036e-07 2.92973e-07 0.684502 0.776689 0 0 0 0 0 0 0 0 0 0
0.0784553 4.28712e-07 1.38322e-07 2.9039e-07 0.677355 0.781549 0 0 0 0 0 0 0 0 0 0
0.0824824 4.29396e-07 1.42032e-07 2.87364e-07 0.669227 0.787336 0 0 0 0 0 0 0 0 0 0
0.0867162 4.3008e-07 1.43264e-07 2.86816e-07 0.666889 0.786281 0 0 0 0 0 0 0 0 0 0
0.0911674 4.30856e-07 1.43173e-07 2.87683e-07 0.667701 0.781294 0 0 0 0 0 0 0 0 0 0
