# 3.54285e-07 2 22 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 16740.4 23.5843
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.7497e-13 1.69638e-13 5.33197e-15 0.0304736 0.0289201 0 0
0.0525665 2.02229e-13 1.96478e-13 5.75134e-15 0.0284397 0.0257561 0 0
0.0552647 2.33162e-13 2.26966e-13 6.19589e-15 0.0265733 0.0229177 0 0
0.0581015 2.64209e-13 2.57641e-13 6.56789e-15 0.0248587 0.0203669 0 0
0.0610839 2.9921e-13 2.92172e-13 7.03771e-15 0.023521 0.0179256 0 0
0.0642193 3.50548e-13 3.42608e-13 7.93978e-15 0.0226496 0.0155158 0 0
0.0675157 4.32831e-13 4.23296e-13 9.53552e-15 0.0220306 0.0130737 0 0
0.0709813 4.96461e-13 4.86217e-13 1.02438e-14 0.0206337 0.010889 0 0
0.0746248 4.91072e-13 4.81712e-13 9.35915e-15 0.0190586 0.00929112 0 0
0.0784553 4.31742e-13 4.24215e-13 7.52726e-15 0.0174346 0.00821981 0 0
0.0824824 3.51648e-13 3.46252e-13 5.39576e-15 0.0153442 0.0075975 0 0
0.0867162 3.07106e-13 3.02943e-13 4.16349e-15 0.0135572 0.00722031 0 0
0.0911674 2.72115e-13 2.68608e-13 3.50747e-15 0.0128896 0.00694303 0 0
0.095847 2.16259e-13 2.13449e-13 2.80966e-15 0.0129921 0.00725725 0 0
0.100767 1.50014e-13 1.48092e-13 1.92214e-15 0.0128131 0.00845984 0 0
0.105939 9.86814e-14 9.735e-14 1.33137e-15 0.0134916 0.0091627 0 0
0.111377 5.96981e-14 5.88884e-14 8.09674e-16 0.0135628 0.0104872 0 0
0.117094 4.47958e-14 4.42945e-14 5.01293e-16 0.0111906 0.00969829 0 0
0.123105 3.4639e-14 3.43138e-14 3.25157e-16 0.00938704 0.00833547 0 0
0.129424 2.8758e-14 2.85496e-14 2.08395e-16 0.00724651 0.00701279 0 0
0.136067 2.70034e-14 2.68687e-14 1.34655e-16 0.00498661 0.00593553 0 0
0.143051 2.78065e-14 2.77182e-14 8.82727e-17 0.00317454 0.00506554 0 0
0.150394 3.18939e-14 3.18339e-14 6.00229e-17 0.00188196 0.00432637 0 0
0.158114 3.85496e-14 3.85043e-14 4.52917e-17 0.0011749 0.00370675 0 0
0.16623 4.81254e-14 4.80836e-14 4.17188e-17 0.000866877 0.00318836 0 1.84731e-307
0.174762 6.28193e-14 6.27692e-14 5.00898e-17 0.000797364 0.00274303 0 5.68607e-293
0.183733 8.4154e-14 8.40827e-14 7.13085e-17 0.000847358 0.00233754 0 3.53926e-279
0.193164 1.16764e-13 1.16651e-13 1.13171e-16 0.000969227 0.00194604 0 4.86818e-266
0.203079 1.54902e-13 1.54729e-13 1.73403e-16 0.00111944 0.0015606 0 1.47341e-253
0.213503 1.68626e-13 1.68411e-13 2.14647e-16 0.00127292 0.00120009 0 9.05157e-242
0.224463 1.30378e-13 1.30198e-13 1.79589e-16 0.00137745 0.000889019 0 1.0463e-230
0.235984 8.89114e-14 8.87895e-14 1.21891e-16 0.00137092 0.000635217 0 3.01731e-220
0.248097 6.3012e-14 6.29333e-14 7.87378e-17 0.00124957 0.000485681 0 2.72204e-210
