# 1.53474e-07 0 14 : grain size, compostion index, size index
# This grain was stochastically heated: Yes
# Heating and cooling timescale: 224936 55.8798
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 1.51329e-14 1.50917e-14 4.11486e-17 0.00271915 0.00519355 0 0
0.0525665 1.75272e-14 1.7483e-14 4.41747e-17 0.00252035 0.00462541 0 0
0.0552647 2.02314e-14 2.0184e-14 4.73817e-17 0.00234199 0.00411762 0 0
0.0581015 2.39521e-14 2.39021e-14 5.0041e-17 0.00208921 0.00366323 0 0
0.0610839 3.35222e-14 3.34689e-14 5.33002e-17 0.00159 0.00322555 0 0
0.0642193 4.23576e-14 4.22981e-14 5.95384e-17 0.00140561 0.00278971 0 8.03799e-307
0.0675157 5.06655e-14 5.05952e-14 7.02721e-17 0.00138698 0.00234995 0 2.93838e-292
0.0709813 5.82042e-14 5.81311e-14 7.30554e-17 0.00125516 0.00196733 0 2.00643e-278
0.0746248 5.43744e-14 5.43101e-14 6.42524e-17 0.00118167 0.00169373 0 2.34742e-265
0.0784553 4.2728e-14 4.26779e-14 5.00955e-17 0.00117243 0.00151165 0 5.25107e-253
0.0824824 3.39115e-14 3.38762e-14 3.53095e-17 0.00104123 0.00141058 0 2.9004e-241
0.0867162 2.84053e-14 2.83781e-14 2.71998e-17 0.000957559 0.00135232 0 4.42554e-230
0.0911674 2.47847e-14 2.47618e-14 2.28274e-17 0.000921029 0.00131122 0 1.96676e-219
0.095847 2.21786e-14 2.21604e-14 1.81353e-17 0.000817694 0.00138082 0 2.66627e-209
0.100767 1.94661e-14 1.94537e-14 1.23746e-17 0.0006357 0.00161089 0 1.1196e-199
0.105939 1.69696e-14 1.6961e-14 8.57122e-18 0.000505093 0.00173934 0 1.55927e-190
0.111377 1.45612e-14 1.4556e-14 5.23695e-18 0.00035965 0.00199116 0 7.5319e-182
0.117094 1.23408e-14 1.23376e-14 3.26129e-18 0.000264268 0.00182655 0 1.33253e-173
0.123105 1.03732e-14 1.03711e-14 2.1234e-18 0.0002047 0.0015676 0 9.10124e-166
0.129424 8.72544e-15 8.72407e-15 1.3651e-18 0.000156451 0.0013185 0 2.53568e-158
0.136067 7.91282e-15 7.91194e-15 8.84031e-19 0.000111721 0.00111565 0 3.24442e-151
0.143051 7.18164e-15 7.18106e-15 5.8047e-19 8.08269e-05 0.000951766 0 1.8451e-144
0.150394 6.78378e-15 6.78338e-15 3.95328e-19 5.82756e-05 0.000812536 0 5.04685e-138
0.158114 6.70501e-15 6.70472e-15 2.98865e-19 4.45733e-05 0.000695862 0 6.93255e-132
0.16623 6.97137e-15 6.97109e-15 2.75936e-19 3.95813e-05 0.000598266 0 4.98367e-126
0.174762 7.63772e-15 7.63739e-15 3.32283e-19 4.35055e-05 0.000514461 0 1.9436e-120
0.183733 8.82471e-15 8.82424e-15 4.74256e-19 5.37418e-05 0.000438205 0 4.25182e-115
0.193164 1.09236e-14 1.09229e-14 7.5325e-19 6.8956e-05 0.000364674 0 5.46684e-110
0.203079 1.43082e-14 1.4307e-14 1.15039e-18 8.04007e-05 0.000292434 0 4.20256e-105
0.213503 1.76264e-14 1.7625e-14 1.41362e-18 8.01988e-05 0.000224905 0 1.76568e-100
0.224463 1.6927e-14 1.69258e-14 1.17562e-18 6.94525e-05 0.000166529 0 3.45132e-96
0.235984 1.308e-14 1.30792e-14 7.97448e-19 6.0967e-05 0.000118873 0 3.32309e-92
0.248097 9.87902e-15 9.8785e-15 5.15948e-19 5.22266e-05 9.10276e-05 0 1.96129e-88
0.260832 7.90654e-15 7.90619e-15 3.54201e-19 4.47985e-05 9.46121e-05 0 7.87142e-85
0.274221 6.72545e-15 6.72519e-15 2.55406e-19 3.79761e-05 0.00012642 0 2.20226e-81
0.288297 5.98828e-15 5.98809e-15 1.90328e-19 3.17835e-05 0.000169659 0 4.31943e-78
0.303095 5.42613e-15 5.42599e-15 1.46646e-19 2.70258e-05 0.000190292 0 5.88958e-75
0.318653 4.74358e-15 4.74346e-15 1.14175e-19 2.40695e-05 0.000198604 0 5.39325e-72
0.335009 4.16839e-15 4.1683e-15 8.99227e-20 2.15725e-05 0.00019534 0 3.5183e-69
0.352205 3.63904e-15 3.63896e-15 7.16963e-20 1.9702e-05 0.000185375 0 1.64383e-66
0.370284 3.15447e-15 3.15441e-15 5.76707e-20 1.82822e-05 0.000173319 0 5.58769e-64
