# 0.000188035 4 82 : grain size, compostion index, size index
# This grain was stochastically heated: No
# Heating and cooling timescale: 0.000844689 6.94435e+11
# Ratio of heating to cooling to determine stochastic cutoff: 100
# Equilibrium emission is recorded even for those grains in the stochastic regime.
# Emission spectrum was computed for: 
# Type: IRSF
# Scale: 1
# Temperature: -1
# Wavelength  CExt  CAbs  CSca  Albedo G EqEmission StEmission
0.05 2.26685e-07 9.55523e-08 1.31133e-07 0.57848 0.932497 0 0
0.0525665 2.26914e-07 9.48138e-08 1.321e-07 0.58216 0.926811 0 0
0.0552647 2.27168e-07 9.35169e-08 1.33651e-07 0.588335 0.918129 0 0
0.0581015 2.27486e-07 9.15292e-08 1.35957e-07 0.597649 0.904647 0 0
0.0610839 2.27876e-07 8.95849e-08 1.38291e-07 0.606869 0.889539 0 0
0.0642193 2.28295e-07 8.83256e-08 1.39969e-07 0.613108 0.877259 0 0
0.0675157 2.28724e-07 8.774e-08 1.40984e-07 0.616394 0.868601 0 0
0.0709813 2.29155e-07 8.77017e-08 1.41454e-07 0.617283 0.863143 0 0
0.0746248 2.29583e-07 8.81173e-08 1.41465e-07 0.616185 0.86048 0 0
0.0784553 2.29984e-07 8.90336e-08 1.40951e-07 0.612871 0.861088 0 0
0.0824824 2.30325e-07 9.06372e-08 1.39688e-07 0.606481 0.866453 0 0
0.0867162 2.30592e-07 9.13589e-08 1.39233e-07 0.603807 0.869347 0 0
0.0911674 2.31007e-07 9.08003e-08 1.40207e-07 0.606937 0.863003 0 0
0.095847 2.3144e-07 9.10037e-08 1.40436e-07 0.606793 0.859755 0 0
0.100767 2.31814e-07 9.15557e-08 1.40258e-07 0.605046 0.859241 0 0
0.105939 2.32106e-07 9.27056e-08 1.394e-07 0.600589 0.86297 0 0
0.111377 2.32365e-07 9.38392e-08 1.38526e-07 0.596156 0.867834 0 0
0.117094 2.32648e-07 9.46541e-08 1.37994e-07 0.593145 0.870858 0 0
0.123105 2.3295e-07 9.52815e-08 1.37668e-07 0.590978 0.872736 0 0
0.129424 2.33267e-07 9.57565e-08 1.3751e-07 0.589498 0.873606 0 0
0.136067 2.33597e-07 9.60619e-08 1.37535e-07 0.58877 0.873283 0 0
0.143051 2.33933e-07 9.60936e-08 1.37839e-07 0.589226 0.870908 0 0
0.150394 2.34187e-07 9.66074e-08 1.3758e-07 0.587478 0.871957 0 0
0.158114 2.34435e-07 9.7774e-08 1.36661e-07 0.582937 0.878103 0 0
0.16623 2.3475e-07 9.91117e-08 1.35638e-07 0.577798 0.885626 0 0
